epoch;loss;lr;mae;mse;val_loss;val_mae;val_mse
0;0.3854110836982727;0.001;0.3909200131893158;0.3854110836982727;0.005855105817317963;0.06825742870569229;0.005855105817317963
1;0.04711679369211197;0.001;0.14667357504367828;0.04711679369211197;0.00934556033462286;0.09040947258472443;0.00934556033462286
2;0.029045337811112404;0.001;0.10915409028530121;0.029045337811112404;0.003600418334826827;0.04953937977552414;0.003600418334826827
3;0.027365997433662415;0.001;0.09887152165174484;0.027365997433662415;0.0043176827020943165;0.05787934735417366;0.0043176827020943165
4;0.01800113171339035;0.001;0.09139175713062286;0.01800113171339035;0.05018862709403038;0.22147750854492188;0.05018862709403038
5;0.012674371711909771;0.001;0.07422258704900742;0.012674371711909771;0.10468945652246475;0.3217824399471283;0.10468945652246475
6;0.013147858902812004;0.001;0.07500969618558884;0.013147858902812004;0.15319111943244934;0.38990843296051025;0.15319111943244934
7;0.010678350925445557;0.001;0.07158628106117249;0.010678350925445557;0.21596865355968475;0.463471919298172;0.21596865355968475
8;0.008904232643544674;0.001;0.06621178984642029;0.008904232643544674;0.28166303038597107;0.5296189188957214;0.28166303038597107
9;0.0066507537849247456;0.001;0.057024985551834106;0.0066507537849247456;0.2781645953655243;0.5263003706932068;0.2781645953655243
10;0.0065568722784519196;0.001;0.05828109756112099;0.0065568722784519196;0.33690571784973145;0.5794229507446289;0.33690571784973145
11;0.005002869293093681;0.001;0.050001055002212524;0.005002869293093681;0.3562384843826294;0.5958693623542786;0.3562384843826294
12;0.006104606669396162;0.001;0.05669610574841499;0.006104606669396162;0.39298179745674133;0.6259411573410034;0.39298179745674133
13;0.006079265382140875;0.001;0.05488727614283562;0.006079265382140875;0.49153003096580505;0.7002465724945068;0.49153003096580505
14;0.006022931542247534;0.001;0.05687510594725609;0.006022931542247534;0.5055466890335083;0.7101864218711853;0.5055466890335083
15;0.004329681862145662;0.001;0.04889722168445587;0.004329681862145662;0.5042069554328918;0.7092404365539551;0.5042069554328918
16;0.004142267629504204;0.001;0.04636729136109352;0.004142267629504204;0.5301567316055298;0.7273024916648865;0.5301567316055298
17;0.0038404513616114855;0.001;0.04560784623026848;0.0038404513616114855;0.6122475862503052;0.7817057967185974;0.6122475862503052
18;0.0030829638708382845;0.001;0.04147820919752121;0.0030829638708382845;0.5851181745529175;0.7641661167144775;0.5851181745529175
19;0.0033396719954907894;0.001;0.04404396563768387;0.0033396719954907894;0.60381019115448;0.7763111591339111;0.60381019115448
20;0.0027104327455163;0.001;0.04046797379851341;0.0027104327455163;0.6791345477104187;0.8233848810195923;0.6791345477104187
21;0.0028491823468357325;0.001;0.041398968547582626;0.0028491823468357325;0.7142250537872314;0.8444234728813171;0.7142250537872314
22;0.0028390272054821253;0.001;0.04044909030199051;0.0028390272054821253;0.6940741539001465;0.8324097990989685;0.6940741539001465
23;0.0028779725544154644;0.001;0.041951149702072144;0.0028779725544154644;0.7690993547439575;0.8762980103492737;0.7690993547439575
24;0.0029292688705027103;0.001;0.04098013415932655;0.0029292688705027103;0.6954962015151978;0.833254873752594;0.6954962015151978
25;0.002567624906077981;0.001;0.039780281484127045;0.002567624906077981;0.7030483484268188;0.8377788662910461;0.7030483484268188
26;0.002341307234019041;0.001;0.03757207468152046;0.002341307234019041;0.7228108048439026;0.8494848608970642;0.7228108048439026
27;0.002254082355648279;0.001;0.036977753043174744;0.002254082355648279;0.753969132900238;0.8676068782806396;0.753969132900238
28;0.0020285381469875574;0.001;0.03477851673960686;0.0020285381469875574;0.8004859685897827;0.8939933180809021;0.8004859685897827
29;0.0021913263481110334;0.001;0.03676337003707886;0.0021913263481110334;0.7488851547241211;0.8646338582038879;0.7488851547241211
30;0.0024451452773064375;0.001;0.03716662526130676;0.0024451452773064375;0.777836799621582;0.8811834454536438;0.777836799621582
31;0.002650758484378457;0.001;0.03816864639520645;0.002650758484378457;0.7989668846130371;0.8930668830871582;0.7989668846130371
32;0.0027776702772825956;0.001;0.039874229580163956;0.0027776702772825956;0.8054904937744141;0.8966723680496216;0.8054904937744141
33;0.00270018819719553;0.001;0.039617765694856644;0.00270018819719553;0.8251076340675354;0.9074932932853699;0.8251076340675354
34;0.0021515674889087677;0.001;0.03514273837208748;0.0021515674889087677;0.8558101058006287;0.9241874814033508;0.8558101058006287
35;0.0018414226360619068;0.001;0.032671041786670685;0.0018414226360619068;0.8696721196174622;0.931631326675415;0.8696721196174622
36;0.0016836220165714622;0.001;0.0316818468272686;0.0016836220165714622;0.8350134491920471;0.9128442406654358;0.8350134491920471
37;0.002233482664451003;0.001;0.03544709086418152;0.002233482664451003;0.8063761591911316;0.8970403075218201;0.8063761591911316
38;0.0024392546620219946;0.001;0.036987464874982834;0.0024392546620219946;0.7369192838668823;0.8574211001396179;0.7369192838668823
39;0.001631242106668651;0.001;0.03183134272694588;0.001631242106668651;0.7505028247833252;0.8652824759483337;0.7505028247833252
40;0.00221126526594162;0.001;0.035613492131233215;0.00221126526594162;0.7727320790290833;0.8779465556144714;0.7727320790290833
41;0.001816282863728702;0.001;0.032298069447278976;0.001816282863728702;0.7905176877975464;0.8879913091659546;0.7905176877975464
42;0.0015986908692866564;0.001;0.030843887478113174;0.0015986908692866564;0.8197537064552307;0.9042271971702576;0.8197537064552307
43;0.0016090404242277145;0.001;0.03137943148612976;0.0016090404242277145;0.782722532749176;0.8835098147392273;0.782722532749176
44;0.0016784816980361938;0.001;0.032363004982471466;0.0016784816980361938;0.8361109495162964;0.9131981134414673;0.8361109495162964
